date,temperature_max,temperature_min,precipitation_sum,windspeed_max,weather_code
2010-01-01,1.8,-2.4,0.0,18.3,2
2010-01-02,4.0,-3.9,0.0,13.8,2
2010-01-03,1.7,-2.3,0.0,16.1,3
2010-01-04,-0.7,-5.0,0.0,10.2,3
2010-01-05,1.8,-4.8,2.2,13.9,73
2010-01-06,0.5,-4.2,7.9,27.6,75
2010-01-07,-3.2,-7.1,0.0,18.5,0
2010-01-08,-1.7,-6.4,0.0,20.9,2
2010-01-09,-1.9,-5.2,0.0,23.6,3
2010-01-10,1.3,-3.5,0.0,21.3,71
2010-01-11,0.7,-1.2,1.0,12.9,71
2010-01-12,1.7,-1.2,2.1,25.4,73
2010-01-13,0.7,-0.4,6.0,18.4,73
2010-01-14,2.0,-0.9,0.0,7.4,3
2010-01-15,8.6,0.4,2.6,25.8,61
2010-01-16,10.3,5.1,12.7,33.0,61
2010-01-17,8.6,3.9,0.0,17.6,1
2010-01-18,9.0,2.7,0.0,13.0,3
2010-01-19,7.1,2.5,0.0,24.1,3
2010-01-20,4.6,1.4,10.0,22.5,73
2010-01-21,7.3,0.2,0.7,22.4,51
2010-01-22,9.2,5.0,18.0,24.0,61
2010-01-23,5.1,1.0,0.0,12.6,3
2010-01-24,5.7,-0.1,0.0,15.1,3
2010-01-25,4.9,-0.1,0.0,20.4,3
2010-01-26,2.7,-1.3,0.0,16.1,3
2010-01-27,7.2,-2.3,0.0,19.4,3
2010-01-28,7.4,3.7,0.2,18.6,51
2010-01-29,6.8,-0.2,4.6,24.6,53
2010-01-30,3.2,-3.3,0.0,13.4,3
2010-01-31,4.0,-4.1,0.0,12.2,3
2010-02-01,5.5,-1.0,0.0,15.1,3
2010-02-02,8.6,2.1,3.6,30.7,53
2010-02-03,8.0,2.1,5.6,20.2,71
2010-02-04,8.6,6.2,1.2,22.5,51
2010-02-05,9.6,4.3,2.8,19.2,55
2010-02-06,6.8,4.3,0.1,20.0,51
2010-02-07,4.8,2.6,0.0,11.5,3
2010-02-08,3.7,1.2,0.0,26.2,3
2010-02-09,4.9,0.5,0.1,25.1,51
2010-02-10,3.5,-1.4,0.0,23.0,3
2010-02-11,3.2,-2.3,0.0,24.1,3
2010-02-12,4.9,-1.3,0.1,20.9,51
2010-02-13,4.3,0.8,0.0,19.5,3
2010-02-14,5.8,-0.0,0.0,15.9,3
2010-02-15,6.4,1.2,2.0,16.8,53
2010-02-16,6.4,0.2,6.5,17.4,53
2010-02-17,5.8,-0.2,6.3,11.5,73
2010-02-18,4.2,-2.0,5.5,21.3,73
2010-02-19,5.4,-1.8,0.6,14.8,71
2010-02-20,5.2,-3.2,0.7,10.0,51
2010-02-21,6.7,-2.0,2.8,16.3,73
2010-02-22,5.1,0.5,2.5,27.3,71
2010-02-23,4.6,-0.7,2.9,21.6,53
2010-02-24,10.2,4.2,1.5,16.1,53
2010-02-25,8.6,2.1,5.5,23.1,53
2010-02-26,7.3,3.1,2.8,36.8,53
2010-02-27,9.9,2.5,5.6,17.4,61
2010-02-28,6.9,2.3,5.7,20.2,55
2010-03-01,8.9,-1.3,0.0,10.7,3
2010-03-02,8.7,-1.9,0.0,13.4,3
2010-03-03,6.4,1.7,0.0,20.5,3
2010-03-04,7.2,0.1,0.0,24.3,3
2010-03-05,7.8,-3.4,0.0,11.0,3
2010-03-06,7.2,0.5,0.0,18.7,3
2010-03-07,3.9,-3.3,0.0,16.8,2
2010-03-08,5.4,-3.4,0.0,18.9,3
2010-03-09,6.8,0.4,0.0,20.4,3
2010-03-10,5.6,2.5,0.0,22.1,3
2010-03-11,6.3,-0.1,0.0,18.3,3
2010-03-12,9.0,-2.1,0.7,19.2,51
2010-03-13,9.3,-0.2,0.0,12.6,3
2010-03-14,10.1,2.3,0.0,19.3,2
2010-03-15,10.1,-0.3,0.0,18.8,2
2010-03-16,9.9,-1.4,0.0,19.4,3
2010-03-17,12.8,4.1,0.0,18.4,3
2010-03-18,13.7,6.9,1.6,27.1,53
2010-03-19,10.9,8.1,4.5,23.0,55
2010-03-20,11.0,7.7,8.3,24.0,55
2010-03-21,11.5,4.0,0.2,16.5,51
2010-03-22,10.4,4.8,1.6,31.7,53
2010-03-23,10.2,0.5,2.7,24.3,53
